raceId,driverId,stop,lap,constructorId,grid,laps,position,circuitId,podium
1013,846,2,39,1,7,51,8,73,0
1013,847,2,38,3,16,49,15,73,0
1013,848,1,12,5,11,50,11,73,0
1014,1,2,46,131,2,66,1,4,1
1014,8,2,45,51,14,66,14,4,0
1014,9,2,44,3,17,65,18,4,0
1014,20,2,40,6,3,66,4,4,0
1014,154,2,46,210,7,66,10,4,0
1014,807,1,35,4,0,66,13,4,0
1014,815,2,45,211,15,66,15,4,0
1014,817,2,45,4,13,66,12,4,0
1014,822,2,45,131,1,66,2,4,1
1014,825,2,45,210,8,66,7,4,0
1014,826,2,45,5,9,66,9,4,0
1014,830,2,43,9,4,66,3,4,1
1014,832,2,46,1,12,66,8,4,0
1014,841,2,41,51,18,66,16,4,0
1014,842,2,46,9,6,66,6,4,0
1014,844,2,46,6,5,66,5,4,0
1014,847,2,44,3,19,65,17,4,0
1014,848,2,45,5,11,66,11,4,0
1015,1,1,11,131,1,78,1,6,1
1015,8,1,46,51,14,77,17,6,0
1015,9,1,21,3,20,77,18,6,0
1015,20,1,11,6,4,78,2,6,1
1015,154,1,50,210,13,78,10,6,0
1015,807,1,9,4,11,77,13,6,0
1015,815,1,11,211,16,77,12,6,0
1015,817,1,11,4,6,78,9,6,0
1015,822,2,12,131,2,78,3,6,1
1015,825,1,11,210,5,77,14,6,0
1015,826,1,32,5,7,78,7,6,0
1015,830,1,11,9,3,78,4,6,0
1015,832,1,30,1,9,78,6,6,0
1015,840,1,39,211,17,77,16,6,0
1015,841,1,44,51,18,76,19,6,0
1015,842,2,62,9,8,78,5,6,0
1015,846,1,47,1,12,78,11,6,0
1015,847,1,10,3,19,77,15,6,0
1015,848,1,40,5,10,78,8,6,0
1016,1,1,28,131,2,70,1,7,1
1016,8,2,58,51,16,69,15,7,0
1016,9,2,38,3,19,67,18,7,0
1016,20,1,26,6,1,70,2,7,1
1016,154,1,34,210,14,69,14,7,0
1016,807,1,16,4,7,69,7,7,0
1016,815,1,11,211,15,69,12,7,0
